institute,rank,score,state,zone,sector,year,,,,,,,,,,,,,,,,,,,,,,
"School of Business, Woxsen University, Hyderabad",119,586.1,Telangana,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Institute of Insurance and Risk Management, Hyderabad",120,585.8,Telangana,South,G,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Management, ITM University Gwalior",121,583.9,Madhya Pradesh,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"MET Institute of Management, Mumbai",122,583.4,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Mepco School of Management Studies, Sivakasi",122,583.4,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Aurora's Business School, Hyderabad",124,583.1,Telangana,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Institute of Management Studies (IMS), Noida",125,582.9,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Ajay Kumar Garg Institute of Management (AKGIM), Ghaziabad",126,582.7,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Amity Business School, Amity University Rajasthan, Jaipur",127,582.6,Rajasthan,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Balaji Institute of Telecom & Management (BITM), Pune",128,581.9,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Management, IMS Unison University, Dehradun",129,581.5,Uttarakhand,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies, Kongu Engineering College, Erode",130,580.9,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Commerce and Management Studies, Dayananda Sagar University, Bengaluru",131,580.6,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Faculty of Management Studies & Research, Aligarh Muslim University, Aligarh",132,578.7,Uttar Pradesh,North,G,2020,,,,,,,,,,,,,,,,,,,,,,
"KL Business School, KLE Foundation (Deemed to be University), Guntur",133,577.8,Andhra Pradesh,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"ICBM School of Business Excellence, Hyderabad",133,577.8,Telangana,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"ICFAI Business School, Dehradun",135,574.9,Uttarakhand,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Amity Business School, Amity University Maharashtra, Mumbai",136,574.8,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Business Studies, Shobhit University, Meerut",137,574.5,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Management & Commerce, Poornima University, Jaipur",138,570.5,Rajasthan,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Bharati Vidyapeeth’s Institute of Management Studies and Research, Navi Mumbai",139,570.3,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"MIT College of Management, Pune",140,569.5,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"SCMS School of Technology and Management, Ernakulam",141,569.2,Kerala,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Quantum School of Business, Quantum University, Roorkee",142,568.9,Uttarakhand,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"International School of Business and Media, Bengaluru",143,568.4,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
